Código;Nombre común;Nombre científico;Tipo de planta;polinizacion;nivel_alergenico;toxicidad_mascotas;tipo_hoja;Estado
TAX;Taray;Tamarix sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
TBA;Tejo;Taxus baccata;CONIFERA;VIENTO;2;TOXICO;PERENNE;ACTIVO
TFO;Palma de Fortune;Trachycarpus fortunei;PALMACEA;MIXTA;1;TOXICO;PERENNE;ACTIVO
TFR;Olivilla;Teucrium fruticans;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
TGA;Taray;Tamarix gallica;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
THX;Tuya;Thuja sp;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
YAL;Yuca pinchuda;Yucca aloifolia;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
TIC;Tilo de hoja pequeña;Tilia cordata;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
TIE;Tilo;Tilia x europaea;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
TIP;Tilo de hojas grandes;Tilia platyphyllos;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
UMIV;Olmo común;Ulmus minor 'Dehesa de la Villa';FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
TIX;Tilos;Tilia sp;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
TOC;Tuya occidental;Thuja occidentalis;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
SVUC;Lilo;Syringa vulgaris 'Charles Joly';ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
UAM;Olmo americana;Ulmus americana;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
UGL;Olmo de montaña;Ulmus glabra;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
UHO;Olmo de Holanda;Ulmus x hollandica;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
UJA;Olmo japonés/Ulmus japonica;Ulmus davidiana var. japonica;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
ULX;Olmos;Ulmus sp;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
UMI;Olmo común;Ulmus minor;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
UPA;Olmo chino;Ulmus parvifolia;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
UTH;Olmo de corcho;Ulmus thomasii;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
VBU;Verónica/Veronica buxifolia;Hebe buxifolia;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
VIX;Viburnos;Viburnum sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
VMA;Hierba doncella;Vinca major;TAPIZANTE/TREPADORA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
VTI;Durillo;Viburnum tinus;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
ACDI;Arce del diablo;Acer diabolicum;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
YUZ;Yucas;Yucca sp;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ZSE;Zelkova japonesa;Zelkova serrata;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
PIH;Pitosporo;Pittosporum heterophyllum;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
AAL;Ailanto;Ailanthus altissima;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
AAM;Pita;Agave americana;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ABA;Abeto blanco;Abies alba;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
ABP;Pinsapo;Abies pinsapo;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
ABX;Abeto;Abies sp;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
ACA;Arce campestre;Acer campestre;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
ACX;Acacias;Acacia sp;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ADE;Mimosa plateada;Acacia dealbata;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ACPF;Arce forresti;Acer pectinatum subsp. forrestii;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
AFL;Abelia floribunda/Abelia floribunda;Vesalea floribunda;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
AGR;Abelia;Abelia x grandiflora;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
AGX;Pitas;Agave sp;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
AHI;Castaño de indias;Aesculus hippocastanum;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
AJU;Acacia de Constantinopla;Albizia julibrissin;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ALO;Mimosa dorada;Acacia longifolia;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ALX;Albizia;Albizia sp;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
AMO;Arce de Montpellier;Acer monspessulanum;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
APL;Arce real;Acer platanoides;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
APR;Abeto noble;Abies procera;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
APS;Falso plátano;Acer pseudoplatanus;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
ASA;Arce del azúcar;Acer saccharinum;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
ATA;Arce de Tartaria;Acer tataricum;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
AUJ;Laurel manchado;Aucuba japonica;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CBU;Catalpa de Bunge;Catalpa bungei;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
CCO;Avellano turco;Corylus colurna;FRONDOSA;VIENTO;3;NO_REPORTADO;DESCONOCIDA;ACTIVO
CDA;Cotoneaster de Dammer;Cotoneaster dammeri;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CEO;Almez americano;Celtis occidentalis;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
DVI;Caqui de Virginia;Diospyros virginiana;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
EAN;Árbol del paraíso;Elaeagnus angustifolia;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ECA;Eucalipto rojo;Eucalyptus camaldulensis;FRONDOSA;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
EEU;Bonetero;Euonymus europaeus;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
EFL;Escalonia;Escallonia floribunda;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
EFO;Bonetero rastrero;Euonymus fortunei;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
EGL;Eucalipto blanco;Eucalyptus globulus;FRONDOSA;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
VOPN;Bola de nieve 'Nanum';Viburnum opulus 'Nanum';ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
EPU;Eleagno;Elaeagnus pungens;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
ERO;Escalonia rosa;Escallonia rosea;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
ESX;Esacalonia;Escallonia sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
EUZ;Evónimo;Euonymus sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
FAM;Fresno americano;Fraxinus americana;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
FAN;Fresno de la tierra;Fraxinus angustifolia;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
FCA;Higuera;Ficus carica;FRONDOSA;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
FEX;Fresno común;Fraxinus excelsior;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
FOI;Forsitia;Forsythia x intermedia;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
FOR;Fresno de flor;Fraxinus ornus;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
FRX;Fresnos;Fraxinus sp;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
FSI;Parasol de la China;Firmiana simplex;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
FSY;Haya;Fagus sylvatica;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
LIN;Árbol de Júpiter;Lagerstroemia indica;FRONDOSA;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
LIX;Aligustres;Ligustrum sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
LLT;Espliego;Lavandula latifolia;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
LLU;Aligustre arbóreo;Ligustrum lucidum;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
LNO;Laurel;Laurus nobilis;FRONDOSA;INSECTOS;1;TOXICO;PERENNE;ACTIVO
LOF;Lavanda;Lavandula officinalis;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
LOV;Ligustrina;Ligustrum ovalifolium;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
UMID;Olmo común;Ulmus minor 'Dehesa de Amaniel';FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
UMIR;Olmo común;Ulmus minor 'Retiro';FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
PIN;Pino laricio;Pinus nigra;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
PIP;Pino resinero;Pinus pinaster;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
PIS;Abeto del Himalaya;Picea smithiana;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
PIT;Pitosporo;Pittosporum tobira;ARBUSTO;INSECTOS;1;TOXICO;PERENNE;ACTIVO
PIX;Pino;Pinus sp;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
PLU;Palo loro;Prunus lusitanica;ARBUSTO;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PMH;Cerezo de Santa Lucía;Prunus mahaleb;ARBUSTO;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PNI;Chopo negro;Populus nigra;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
POC;Chopo del Canadá;Populus x canadensis;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
POR;Plátano oriental;Platanus orientalis;FRONDOSA;VIENTO;3;NO_REPORTADO;CADUCA;ACTIVO
POS;Chopo de Simón;Populus simonii;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
POX;Chopo;Populus sp;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
POZ;Fotinia;Photinia sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
PPE;Melocotonero;Prunus persica;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PPI;Pino piñonero;Pinus pinea;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
PRA;Albaricoquero;Prunus armeniaca;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PRC;Ciruelo rojo;Prunus cerasifera;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PRP;Cerezo de racimos;Prunus padus;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PRS;Capulín;Prunus serotina;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PRX;Pruno;Prunus sp;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PSL;Peral de hoja de sauce;Pyrus salicifolia;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
PTO;Paulonia;Paulownia tomentosa;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
PTR;Álamo temblón;Populus tremula;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
SHY;Espirea;Spiraea hypericifolia;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
SJA;Acacia del Japón/Sophora japonica;Styphnolobium japonicum;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
SJU;Gayomba;Spartium junceum;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
VLU;Viburno;Viburnum lucidum;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
AUN;Madroño;Arbutus unedo;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
BCA;Palmera de la jalea;Butia capitata;PALMACEA;MIXTA;1;NO_REPORTADO;PERENNE;ACTIVO
BDA;Arbusto de las mariposas;Buddleja davidii;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
BJU;Agracejo chino;Berberis julianae;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
BPA;Abedul de papel;Betula papyrifera;FRONDOSA;VIENTO;3;NO_REPORTADO;CADUCA;ACTIVO
BPE;Abedul llorón (o péndulo);Betula pendula;FRONDOSA;VIENTO;3;NO_REPORTADO;CADUCA;ACTIVO
BPU;Abedul pubescente;Betula pubescens;FRONDOSA;VIENTO;3;NO_REPORTADO;CADUCA;ACTIVO
BRP;Morera de papel;Broussonetia papyrifera;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
BTH;Agracejo;Berberis thunbergii;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
BUT;Abedul del Himalaya;Betula utilis;FRONDOSA;VIENTO;3;NO_REPORTADO;CADUCA;ACTIVO
BUX;Budelia;Buddleja sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CAD;Cedro blanco;Calocedrus decurrens;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
CAO;Arbusto del guisante;Caragana arborescens;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CAR;Ciprés de Arizona;Cupressus arizonica;CONIFERA;VIENTO;3;NO_REPORTADO;PERENNE;ACTIVO
CAS;Castaño;Castanea sativa;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CAU;Almez;Celtis australis;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
CES;Algarrobo;Ceratonia siliqua;FRONDOSA;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
CFR;Cotoneaster frígido;Cotoneaster frigidus;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CHL;Ciprés de Lawson;Chamaecyparis lawsoniana;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
CHO;Falso ciprés;Chamaecyparis obtusa;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
ABCO;Abeto del Colorado;Abies concolor;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
CHU;Palmito;Chamaerops humilis;PALMACEA;MIXTA;1;NO_REPORTADO;PERENNE;ACTIVO
CIA;Naranjo amargo;Citrus x aurantium;FRONDOSA;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
CIL;Limonero;Citrus limon;FRONDOSA;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
VOP;Bola de nieve;Viburnum opulus;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CLA;Almez del Mississipi;Celtis laevigata;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
PDUC;;Prunus dulcis 'Cavaliera';FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
CLI;Cedro del Líbano;Cedrus libani;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
CMO;Majuelo;Crataegus monogyna;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
COH;Cotoneaster horizontal;Cotoneaster horizontalis;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
COL;Cotoneaster lechoso;Cotoneaster lacteus;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
COX;Cotoneaster;Cotoneaster sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CPE;Calistemo espléndido;Callistemon speciosus;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CRI;Cepillo;Callistemon rigidus;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CRL;Espino blanco;Crataegus laevigata;ARBUSTO;INSECTOS;1;TOXICO;SEMICADUCA;ACTIVO
CSA;Cornejo rojo;Cornus sanguinea;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CSE;Ciprés común;Cupressus sempervirens;CONIFERA;VIENTO;3;NO_REPORTADO;PERENNE;ACTIVO
CSI;Árbol del amor;Cercis siliquastrum;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CSL;Cotoneaster de hoja de sauce;Cotoneaster salicifolius;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CUM;Ciprés de Monterrey;Cupressus macrocarpa;CONIFERA;VIENTO;3;NO_REPORTADO;PERENNE;ACTIVO
CUX;Ciprés;Cupressus sp;CONIFERA;VIENTO;3;NO_REPORTADO;PERENNE;ACTIVO
CVA;Carolina del jardín;Coronilla valentina;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CYO;Membrillero;Cydonia oblonga;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
DLO;Caqui enano;Diospyros lotus;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
GTR;Acacia de tres espinas;Gleditsia triacanthos;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
HAN;Verónica;Hebe andersonii;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
HHE;Hiedra;Hedera helix;TAPIZANTE/TREPADORA;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
RSM;Rosa ?Sweet Meidilland?;Rosa 'Sweet Meidilland';ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
HRO;Rosa de China;Hibiscus rosa-sinensis;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
HSX;Hebe;Hebe sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
HSY;Rosa de Siria;Hibiscus syriacus;ARBUSTO;INSECTOS;1;TOXICO;SEMICADUCA;ACTIVO
IAQ;Acebo;Ilex aquifolium;FRONDOSA;INSECTOS;1;TOXICO;PERENNE;ACTIVO
IRX;Lirios;Iris sp;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
JCO;Enebro común;Juniperus communis;CONIFERA;VIENTO;3;NO_REPORTADO;PERENNE;ACTIVO
JHO;Junípero horizontal;Juniperus horizontalis;CONIFERA;VIENTO;3;NO_REPORTADO;PERENNE;ACTIVO
JNU;Jazmín de invierno;Jasminum nudiflorum;TAPIZANTE/TREPADORA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
JRE;Nogal;Juglans regia;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
JUX;Junipero;Juniperus sp;CONIFERA;VIENTO;3;NO_REPORTADO;PERENNE;ACTIVO
KPA;Árbol de los farolitos;Koelreuteria paniculata;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
LSO;Cantueso;Lavandula stoechas;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
LST;Liquidambar;Liquidambar styraciflua;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
LTU;Árbol de las tulipas;Liriodendron tulipifera;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
LVU;Aligustre;Ligustrum vulgare;ARBUSTO;INSECTOS;1;TOXICO;PERENNE;ACTIVO
MAL;Morera blanca;Morus alba;FRONDOSA;VIENTO;2;TOXICO;CADUCA;ACTIVO
MAQ;"Mahonia; Berberis aquifolium";Mahonia aquifolium;ARBUSTO;INSECTOS;1;TOXICO;SEMICADUCA;ACTIVO
MCO;Manzano;Malus communis;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
MEA;Cinamomo;Melia azedarach;FRONDOSA;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
MFL;Manzano japonés;Malus floribunda;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
MGE;Níspero;Mespilus germanica;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
MGR;Magnolio;Magnolia grandiflora;FRONDOSA;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
MNI;Morera;Morus nigra;FRONDOSA;VIENTO;2;TOXICO;CADUCA;ACTIVO
MOX;Morera;Morus sp;FRONDOSA;VIENTO;2;TOXICO;CADUCA;ACTIVO
MSY;Manzano silvestre;Malus sylvestris;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
PCY;Peral de flor;Pyrus calleryana;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
CLS;limpiatubos llorón;Callistemon viminalis;ARBUSTO;INSECTOS;1;TOXICO;SEMICADUCA;ACTIVO
NOL;Adelfa;Nerium oleander;ARBUSTO;INSECTOS;1;TOXICO;PERENNE;ACTIVO
OCA;Carpe negro;Ostrya carpinifolia;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
PAB;Álamo plateado;Populus alba 'Bolleana';FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
PAG;Piracanta de hoja estrecha;Pyracantha angustifolia;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
PAL;Álamo blanco;Populus alba;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
PAV;Cerezo silvestre;Prunus avium;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PBO;Piruétano;Pyrus bourgaeana;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
PCC;Espino de fuego;Pyracantha coccinea;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
PCE;Pino cembro;Pinus cembra;CONIFERA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
PCO;Celinda;Philadelphus coronarius;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
PCP;Ciruelo púrpura;Prunus cerasifera  subsp. pissardii;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
PDI;Bellasombra;Phytolacca dioica;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
PGL;Fotinia;Photinia glabra;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
PGR;Granado;Punica granatum;FRONDOSA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
PHC;Palmera canaria;Phoenix canariensis;PALMACEA;MIXTA;1;TOXICO;PERENNE;ACTIVO
PHD;Palmera datilera;Phoenix dactylifera;PALMACEA;MIXTA;1;NO_REPORTADO;PERENNE;ACTIVO
PHF;Fotinia;Photinia x fraseri;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
PHS;Fotinia;Photinia serrulata;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
PYC;Peral;Pyrus communis;FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
PYX;Álamo de Yunnan;Populus yunnanensis;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
PYZ;Piracantas;Pyrus sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
VEX;Verónicas;Veronica sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
RPLB;Rosa ?Polyantha Little Buccara?;Rosa 'Polyantha Little Buccara';ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
QPE;Roble albar;Quercus petraea;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
QRO;Roble común;Quercus robur;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
QRU;Roble americano;Quercus rubra;FRONDOSA;VIENTO;2;NO_REPORTADO;CADUCA;ACTIVO
QSU;Alcornoque;Quercus suber;FRONDOSA;VIENTO;2;NO_REPORTADO;PERENNE;ACTIVO
RAC;Rusco;Ruscus aculeatus;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
RAL;Aladierno;Rhamnus alaternus;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
RCN;Rosal silvestre;Rosa canina;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
RHI;Acacia rosa;Robinia hispida;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
ROF;Romero;Salvia rosmarinus;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
ROX;Rododendro;Rhododendron sp;ARBUSTO;INSECTOS;1;TOXICO;SEMICADUCA;ACTIVO
ROZ;Rosas;Rosa sp;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
RPS;Falsa acacia;Robinia pseudoacacia;FRONDOSA;INSECTOS;1;TOXICO;CADUCA;ACTIVO
