Código;Nombre común;Nombre científico;Tipo de planta;polinizacion;nivel_alergenico;toxicidad_mascotas;tipo_hoja;Estado
ST-127;;Pelargonium 'Lara Starshine';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-138;;Pelargonium 'Lavender Lindy';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-128;;Pelargonium 'Mons Ninon';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-129;;Pelargonium panduriforme;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-130;;Pelargonium 'Quantock Candy';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-131;;Pelargonium 'Quantock Classic';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
C004K;Rosal 'Manou Meilland';Rosa 'Manou Meilland';ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
ST-133;;Pelargonium quercifolium 'Fair Ellen';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-134;;Pelargonium 'Robin´s Unique';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-135;;Pelargonium 'Scarlet Unique';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-243;;Pelargonium sidoides;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-241;;Pelargonium tetragonum;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-136;;Pelargonium 'The Boar';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-137;;Pelargonium x kewense;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-113;;Pelargonium 'April Shower';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
TR-388;;Pentas lanceolata;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-362;;Peperomia glabella;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-364;;Peperomia obtusifolia;SUBTROPICAL/TROPICAL;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
LISW;Liquidambar piramidal;Liquidambar styraciflua 'Worplesdon';FRONDOSA;INSECTOS;1;NO_REPORTADO;CADUCA;ACTIVO
TR-365;;Peperomia scanden 'Variegata';SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-199;;Pereskia aculeata;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-252;;Pereskia grandifolia;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-154;;Persea indica;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
TR-071;;Philodendron bipinnatifidum;SUBTROPICAL/TROPICAL;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
TR-072;;Philodendron erubescens;SUBTROPICAL/TROPICAL;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
LJA;Aligustre del Japón;Ligustrum japonicum;ARBUSTO;INSECTOS;1;TOXICO;PERENNE;ACTIVO
TR-074;;Philodendron hederaceum;SUBTROPICAL/TROPICAL;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
TR-075;;Philodendron xanadu;SUBTROPICAL/TROPICAL;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
TR-374;;Phlebodium aureum;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-116;;Licuala grandis;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-181;;Picconia excelsa;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
TR-412;;Pilea cadierei;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-409;;Pilea depressa;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-414;;Pilea involucrata;HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
TR-441;;Pilea spruceana 'Norfok';HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-442;;Pilea spruceana 'Silver Tree';HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
